game_id,game_seconds,game_period,x_coord,y_coord,shot_distance,shot_angle,shot_type,empty_net,last_event_type,last_event_x,last_event_y,time_since_last_event,distance_from_last_event,friendly_skaters,opposing_skaters,attacking_team_id,attacking_team_name,home_team,is_goal,rebound,shot_angle_change,speed
2017021065,902,1,74.0,1.0,15.033296378372908,-3.8140748342903543,,1,faceoff,69.0,22.0,18,21.587033144922902,5,4,52,Jets,Capitals,0,False,0.0,1.1992796191623833
2017021065,960,1,66.0,-1.0,23.021728866442675,2.489552921999156,tip-in,0,giveaway,62.0,-30.0,10,29.274562336608895,5,4,52,Jets,Capitals,0,False,0.0,2.9274562336608896
2017021065,983,1,89.0,17.0,17.0,,wrist,0,giveaway,81.0,-36.0,11,53.600373133029585,5,4,52,Jets,Capitals,0,False,0.0,4.8727611939117805
2017021065,1028,1,-54.0,-18.0,39.35733730830886,-27.216111557307475,snap,0,faceoff,-69.0,22.0,9,42.720018726587654,5,4,15,Capitals,Capitals,0,False,0.0,4.746668747398628
2017021065,1044,1,-67.0,6.0,22.80350850198276,15.255118703057775,,1,missed-shot,-54.0,-18.0,16,27.294688127912362,5,4,15,Capitals,Capitals,0,False,0.0,1.7059180079945226
2017021065,1065,1,-71.0,12.0,21.633307652783937,33.690067525979785,wrist,0,blocked-shot,-67.0,6.0,21,7.211102550927978,5,4,15,Capitals,Capitals,0,False,0.0,0.34338583575847514
2017021065,1104,1,-52.0,-21.0,42.5440947723653,-29.577838681261326,slap,0,takeaway,-29.0,1.0,15,31.827660925679098,5,4,15,Capitals,Capitals,0,False,0.0,2.12184406171194
2017021065,1117,1,-69.0,-11.0,22.825424421026653,-28.810793742973065,slap,0,hit,-92.0,-39.0,7,36.235341863986875,5,4,15,Capitals,Capitals,0,False,0.0,5.176477409140982
2017021065,1139,1,-62.0,-19.0,33.015148038438355,-35.134193056915635,,1,missed-shot,-69.0,-11.0,22,10.63014581273465,5,4,15,Capitals,Capitals,0,False,0.0,0.48318844603339317
2017021065,1148,1,-84.0,30.0,30.4138126514911,80.53767779197439,wrist,0,blocked-shot,-62.0,-19.0,9,53.71219600798314,5,5,52,Jets,Capitals,0,False,0.0,5.968021778664793
2017021065,1176,1,-76.0,-1.0,13.038404810405298,-4.398705354995532,wrist,0,faceoff,69.0,-22.0,9,146.5127980757995,5,5,15,Capitals,Capitals,0,False,0.0,16.279199786199946
2017021065,1182,1,-79.0,-8.0,12.806248474865697,-38.659808254090095,,1,missed-shot,-76.0,-1.0,6,7.615773105863909,5,5,15,Capitals,Capitals,0,False,0.0,1.2692955176439848
2017021065,1191,1,-33.0,-26.0,61.741396161732524,-24.904768808095188,wrist,0,blocked-shot,-79.0,-8.0,9,49.39635614091387,5,5,15,Capitals,Capitals,0,False,0.0,5.488484015657097
2017021065,1231,2,-66.0,-34.0,41.048751503547585,-55.92280471986926,wrist,0,hit,23.0,-38.0,21,89.08984229416954,5,5,15,Capitals,Capitals,0,False,0.0,4.242373442579502
2017021065,1250,2,-81.0,-13.0,15.264337522473747,-58.3924977537511,wrist,0,shot-on-goal,-66.0,-34.0,19,25.80697580112788,5,5,52,Jets,Capitals,0,True,-2.469693033881839,1.3582618842698884
2017021065,1269,2,-63.0,26.0,36.76955262170047,45.0,,1,faceoff,-69.0,-22.0,18,48.373546489791295,5,5,52,Jets,Capitals,0,False,0.0,2.6874192494328497
2017021065,1281,2,35.0,-23.0,58.69412236331676,23.070412249824653,slap,0,faceoff,-69.0,22.0,11,113.3181362359971,5,5,15,Capitals,Capitals,0,False,0.0,10.30164874872701
2017021065,1301,2,-56.0,6.0,33.54101966249684,10.304846468766033,slap,0,faceoff,69.0,-22.0,19,128.09761902549164,5,5,52,Jets,Capitals,0,False,0.0,6.741979948710086
2017021065,1305,2,-78.0,-9.0,14.212670403551895,-39.28940686250036,,1,missed-shot,-56.0,6.0,4,26.627053911388696,5,5,52,Jets,Capitals,0,False,0.0,6.656763477847174
2017021065,1319,2,87.0,-23.0,23.08679276123039,85.0302592718897,wrist,0,blocked-shot,-78.0,-9.0,14,165.59287424282482,5,5,15,Capitals,Capitals,0,False,0.0,11.828062445916059
2017021065,1386,2,-76.0,7.0,14.7648230602334,28.300755766006375,tip-in,0,giveaway,-34.0,0.0,34,42.579337712087536,5,5,52,Jets,Capitals,0,False,0.0,1.2523334621202216
2017021065,1394,2,-86.0,11.0,11.40175425099138,74.74488129694222,wrap-around,0,missed-shot,-76.0,7.0,8,10.770329614269007,5,5,52,Jets,Capitals,0,False,0.0,1.346291201783626
2017021065,1428,2,79.0,-7.0,12.206555615733702,34.99202019855866,backhand,0,giveaway,90.0,-25.0,-234,21.095023109728988,5,5,15,Capitals,Capitals,0,False,0.0,0.0
2017021065,1430,2,75.0,-1.0,14.035668847618199,4.085616779974877,wrist,0,shot-on-goal,79.0,-7.0,2,7.211102550927978,5,5,15,Capitals,Capitals,0,True,-30.906403418583785,3.605551275463989
2017021065,1432,2,82.0,7.0,9.899494936611665,-45.0,wrist,0,shot-on-goal,75.0,-1.0,2,10.63014581273465,5,5,15,Capitals,Capitals,0,True,-49.08561677997488,5.315072906367325
2017021065,1431,2,82.0,6.0,9.219544457292887,-40.60129464500447,,1,shot-on-goal,82.0,7.0,-1,1.0,5,5,15,Capitals,Capitals,0,True,4.398705354995528,0.0
2017021065,1433,2,85.0,8.0,8.94427190999916,-63.43494882292201,wrist,0,blocked-shot,82.0,6.0,2,3.605551275463989,5,5,15,Capitals,Capitals,1,False,0.0,1.8027756377319946
2017021065,1517,2,-60.0,3.0,29.154759474226502,5.9061411137705,snap,0,faceoff,-69.0,22.0,26,21.02379604162864,5,5,52,Jets,Capitals,0,False,0.0,0.80860754006264
2017021065,1520,2,-67.0,-5.0,22.561028345356956,-12.80426606528675,wrist,0,giveaway,-45.0,28.0,4,39.66106403010388,5,5,52,Jets,Capitals,0,False,0.0,9.91526600752597
2017021065,1554,2,76.0,-20.0,23.853720883753127,56.97613244420336,wrist,0,missed-shot,-67.0,-5.0,34,143.78456106272327,5,5,15,Capitals,Capitals,0,False,0.0,4.22895767831539
2017021065,1595,2,-46.0,18.0,46.61544808322666,22.71441235316724,slap,0,hit,-23.0,40.0,20,31.827660925679098,5,5,52,Jets,Capitals,0,False,0.0,1.5913830462839549
